student_id,roll_number,name,department,semester,enrollment_year,guardian_name,guardian_phone,guardian_email,mentor_id,trajectory_type,dropout_label
96,ECE20260096,Student 0096,ECE,4,2024,Guardian 0096,+919000000096,guardian0096@example.test,6,GRADUALLY_DETERIORATING,1
97,CSE20260097,Student 0097,CSE,1,2025,Guardian 0097,+919000000097,guardian0097@example.test,5,IMPROVING,0
98,CSE20260098,Student 0098,CSE,2,2025,Guardian 0098,+919000000098,guardian0098@example.test,1,STABLE,0
99,ECE20260099,Student 0099,ECE,4,2024,Guardian 0099,+919000000099,guardian0099@example.test,1,STABLE,0
100,ECE20260100,Student 0100,ECE,5,2023,Guardian 0100,+919000000100,guardian0100@example.test,12,FINANCIAL_CONTEXT_ONLY,0
101,ME20260101,Student 0101,ME,3,2024,Guardian 0101,+919000000101,guardian0101@example.test,4,ACADEMIC_DISTRESS_ONLY,1
102,ECE20260102,Student 0102,ECE,8,2022,Guardian 0102,+919000000102,guardian0102@example.test,8,GRADUALLY_DETERIORATING,0
103,ECE20260103,Student 0103,ECE,2,2025,Guardian 0103,+919000000103,guardian0103@example.test,12,STABLE,0
104,ECE20260104,Student 0104,ECE,4,2024,Guardian 0104,+919000000104,guardian0104@example.test,1,FINANCIAL_CONTEXT_ONLY,0
105,EEE20260105,Student 0105,EEE,6,2023,Guardian 0105,+919000000105,guardian0105@example.test,3,RAPIDLY_DETERIORATING,1
106,CSE20260106,Student 0106,CSE,3,2024,Guardian 0106,+919000000106,guardian0106@example.test,3,RAPIDLY_DETERIORATING,0
107,CSE20260107,Student 0107,CSE,1,2025,Guardian 0107,+919000000107,guardian0107@example.test,14,IMPROVING,1
108,CSE20260108,Student 0108,CSE,2,2025,Guardian 0108,+919000000108,guardian0108@example.test,2,STABLE,0
109,ME20260109,Student 0109,ME,2,2025,Guardian 0109,+919000000109,guardian0109@example.test,2,STABLE,0
110,ME20260110,Student 0110,ME,6,2023,Guardian 0110,+919000000110,guardian0110@example.test,13,ACADEMIC_DISTRESS_ONLY,1
111,ECE20260111,Student 0111,ECE,7,2022,Guardian 0111,+919000000111,guardian0111@example.test,8,IMPROVING,0
112,CE20260112,Student 0112,CE,8,2022,Guardian 0112,+919000000112,guardian0112@example.test,12,STABLE,0
113,ECE20260113,Student 0113,ECE,3,2024,Guardian 0113,+919000000113,guardian0113@example.test,4,STABLE,0
114,EEE20260114,Student 0114,EEE,8,2022,Guardian 0114,+919000000114,guardian0114@example.test,10,GRADUALLY_DETERIORATING,0
115,CSE20260115,Student 0115,CSE,3,2024,Guardian 0115,+919000000115,guardian0115@example.test,12,STABLE,0
116,EEE20260116,Student 0116,EEE,5,2023,Guardian 0116,+919000000116,guardian0116@example.test,12,ACADEMIC_DISTRESS_ONLY,0
117,ECE20260117,Student 0117,ECE,2,2025,Guardian 0117,+919000000117,guardian0117@example.test,8,RAPIDLY_DETERIORATING,1
118,ME20260118,Student 0118,ME,7,2022,Guardian 0118,+919000000118,guardian0118@example.test,2,RAPIDLY_DETERIORATING,1
119,CE20260119,Student 0119,CE,3,2024,Guardian 0119,+919000000119,guardian0119@example.test,6,IMPROVING,0
120,CSE20260120,Student 0120,CSE,6,2023,Guardian 0120,+919000000120,guardian0120@example.test,11,GRADUALLY_DETERIORATING,0
121,ECE20260121,Student 0121,ECE,6,2023,Guardian 0121,+919000000121,guardian0121@example.test,13,GRADUALLY_DETERIORATING,0
122,ECE20260122,Student 0122,ECE,2,2025,Guardian 0122,+919000000122,guardian0122@example.test,9,GRADUALLY_DETERIORATING,1
123,CE20260123,Student 0123,CE,2,2025,Guardian 0123,+919000000123,guardian0123@example.test,11,STABLE,0
124,CE20260124,Student 0124,CE,7,2022,Guardian 0124,+919000000124,guardian0124@example.test,8,IMPROVING,0
125,ECE20260125,Student 0125,ECE,1,2025,Guardian 0125,+919000000125,guardian0125@example.test,14,STABLE,0
126,CSE20260126,Student 0126,CSE,5,2023,Guardian 0126,+919000000126,guardian0126@example.test,9,IMPROVING,0
127,ME20260127,Student 0127,ME,8,2022,Guardian 0127,+919000000127,guardian0127@example.test,2,STABLE,0
128,EEE20260128,Student 0128,EEE,2,2025,Guardian 0128,+919000000128,guardian0128@example.test,10,STABLE,0
129,CE20260129,Student 0129,CE,1,2025,Guardian 0129,+919000000129,guardian0129@example.test,7,STABLE,0
130,ME20260130,Student 0130,ME,3,2024,Guardian 0130,+919000000130,guardian0130@example.test,10,GRADUALLY_DETERIORATING,0
131,CSE20260131,Student 0131,CSE,1,2025,Guardian 0131,+919000000131,guardian0131@example.test,1,STABLE,0
132,ME20260132,Student 0132,ME,7,2022,Guardian 0132,+919000000132,guardian0132@example.test,14,FINANCIAL_CONTEXT_ONLY,0
133,CE20260133,Student 0133,CE,5,2023,Guardian 0133,+919000000133,guardian0133@example.test,3,GRADUALLY_DETERIORATING,1
134,ME20260134,Student 0134,ME,7,2022,Guardian 0134,+919000000134,guardian0134@example.test,11,STABLE,0
135,CE20260135,Student 0135,CE,5,2023,Guardian 0135,+919000000135,guardian0135@example.test,5,GRADUALLY_DETERIORATING,0
136,CE20260136,Student 0136,CE,2,2025,Guardian 0136,+919000000136,guardian0136@example.test,7,STABLE,0
137,EEE20260137,Student 0137,EEE,1,2025,Guardian 0137,+919000000137,guardian0137@example.test,1,FINANCIAL_CONTEXT_ONLY,0
138,CE20260138,Student 0138,CE,4,2024,Guardian 0138,+919000000138,guardian0138@example.test,7,IMPROVING,0
139,CE20260139,Student 0139,CE,8,2022,Guardian 0139,+919000000139,guardian0139@example.test,10,RAPIDLY_DETERIORATING,1
140,ECE20260140,Student 0140,ECE,4,2024,Guardian 0140,+919000000140,guardian0140@example.test,3,STABLE,0
141,ECE20260141,Student 0141,ECE,2,2025,Guardian 0141,+919000000141,guardian0141@example.test,11,IMPROVING,0
142,CSE20260142,Student 0142,CSE,8,2022,Guardian 0142,+919000000142,guardian0142@example.test,14,IMPROVING,0
143,ECE20260143,Student 0143,ECE,4,2024,Guardian 0143,+919000000143,guardian0143@example.test,14,FINANCIAL_CONTEXT_ONLY,0
144,CE20260144,Student 0144,CE,6,2023,Guardian 0144,+919000000144,guardian0144@example.test,6,GRADUALLY_DETERIORATING,1
145,CSE20260145,Student 0145,CSE,6,2023,Guardian 0145,+919000000145,guardian0145@example.test,10,IMPROVING,0
146,CE20260146,Student 0146,CE,8,2022,Guardian 0146,+919000000146,guardian0146@example.test,9,STABLE,0
147,CE20260147,Student 0147,CE,8,2022,Guardian 0147,+919000000147,guardian0147@example.test,11,STABLE,0
148,EEE20260148,Student 0148,EEE,5,2023,Guardian 0148,+919000000148,guardian0148@example.test,2,GRADUALLY_DETERIORATING,1
149,ME20260149,Student 0149,ME,6,2023,Guardian 0149,+919000000149,guardian0149@example.test,7,IMPROVING,0
150,CSE20260150,Student 0150,CSE,8,2022,Guardian 0150,+919000000150,guardian0150@example.test,6,STABLE,0
151,EEE20260151,Student 0151,EEE,8,2022,Guardian 0151,+919000000151,guardian0151@example.test,10,ACADEMIC_DISTRESS_ONLY,1
152,ECE20260152,Student 0152,ECE,3,2024,Guardian 0152,+919000000152,guardian0152@example.test,10,ACADEMIC_DISTRESS_ONLY,1
153,ECE20260153,Student 0153,ECE,4,2024,Guardian 0153,+919000000153,guardian0153@example.test,1,STABLE,0
154,CE20260154,Student 0154,CE,5,2023,Guardian 0154,+919000000154,guardian0154@example.test,8,GRADUALLY_DETERIORATING,1
155,ECE20260155,Student 0155,ECE,4,2024,Guardian 0155,+919000000155,guardian0155@example.test,6,STABLE,0
156,ECE20260156,Student 0156,ECE,3,2024,Guardian 0156,+919000000156,guardian0156@example.test,3,GRADUALLY_DETERIORATING,0
157,CSE20260157,Student 0157,CSE,3,2024,Guardian 0157,+919000000157,guardian0157@example.test,1,STABLE,0
158,EEE20260158,Student 0158,EEE,2,2025,Guardian 0158,+919000000158,guardian0158@example.test,2,GRADUALLY_DETERIORATING,0
159,ME20260159,Student 0159,ME,8,2022,Guardian 0159,+919000000159,guardian0159@example.test,6,RAPIDLY_DETERIORATING,1
160,ECE20260160,Student 0160,ECE,8,2022,Guardian 0160,+919000000160,guardian0160@example.test,3,RAPIDLY_DETERIORATING,1
161,CSE20260161,Student 0161,CSE,4,2024,Guardian 0161,+919000000161,guardian0161@example.test,7,STABLE,0
162,ECE20260162,Student 0162,ECE,1,2025,Guardian 0162,+919000000162,guardian0162@example.test,8,ACADEMIC_DISTRESS_ONLY,0
163,ECE20260163,Student 0163,ECE,6,2023,Guardian 0163,+919000000163,guardian0163@example.test,11,STABLE,0
164,ME20260164,Student 0164,ME,2,2025,Guardian 0164,+919000000164,guardian0164@example.test,4,STABLE,0
165,ECE20260165,Student 0165,ECE,7,2022,Guardian 0165,+919000000165,guardian0165@example.test,5,GRADUALLY_DETERIORATING,0
166,EEE20260166,Student 0166,EEE,1,2025,Guardian 0166,+919000000166,guardian0166@example.test,15,IMPROVING,0
167,ECE20260167,Student 0167,ECE,8,2022,Guardian 0167,+919000000167,guardian0167@example.test,9,ACADEMIC_DISTRESS_ONLY,1
168,CSE20260168,Student 0168,CSE,8,2022,Guardian 0168,+919000000168,guardian0168@example.test,5,RAPIDLY_DETERIORATING,1
169,ME20260169,Student 0169,ME,1,2025,Guardian 0169,+919000000169,guardian0169@example.test,13,STABLE,0
170,EEE20260170,Student 0170,EEE,4,2024,Guardian 0170,+919000000170,guardian0170@example.test,9,FINANCIAL_CONTEXT_ONLY,0
171,CSE20260171,Student 0171,CSE,3,2024,Guardian 0171,+919000000171,guardian0171@example.test,7,STABLE,0
172,CSE20260172,Student 0172,CSE,3,2024,Guardian 0172,+919000000172,guardian0172@example.test,9,GRADUALLY_DETERIORATING,0
173,CE20260173,Student 0173,CE,3,2024,Guardian 0173,+919000000173,guardian0173@example.test,13,STABLE,0
174,ECE20260174,Student 0174,ECE,1,2025,Guardian 0174,+919000000174,guardian0174@example.test,12,FINANCIAL_CONTEXT_ONLY,0
175,CSE20260175,Student 0175,CSE,2,2025,Guardian 0175,+919000000175,guardian0175@example.test,10,STABLE,0
176,EEE20260176,Student 0176,EEE,2,2025,Guardian 0176,+919000000176,guardian0176@example.test,14,STABLE,0
177,ECE20260177,Student 0177,ECE,3,2024,Guardian 0177,+919000000177,guardian0177@example.test,3,IMPROVING,0
178,EEE20260178,Student 0178,EEE,6,2023,Guardian 0178,+919000000178,guardian0178@example.test,7,FINANCIAL_CONTEXT_ONLY,0
179,CSE20260179,Student 0179,CSE,2,2025,Guardian 0179,+919000000179,guardian0179@example.test,14,ACADEMIC_DISTRESS_ONLY,0
180,CE20260180,Student 0180,CE,5,2023,Guardian 0180,+919000000180,guardian0180@example.test,14,RAPIDLY_DETERIORATING,1
181,ME20260181,Student 0181,ME,5,2023,Guardian 0181,+919000000181,guardian0181@example.test,11,ACADEMIC_DISTRESS_ONLY,1
182,ECE20260182,Student 0182,ECE,3,2024,Guardian 0182,+919000000182,guardian0182@example.test,3,ACADEMIC_DISTRESS_ONLY,0
183,CSE20260183,Student 0183,CSE,8,2022,Guardian 0183,+919000000183,guardian0183@example.test,1,GRADUALLY_DETERIORATING,1
184,CE20260184,Student 0184,CE,3,2024,Guardian 0184,+919000000184,guardian0184@example.test,8,STABLE,0
185,ECE20260185,Student 0185,ECE,5,2023,Guardian 0185,+919000000185,guardian0185@example.test,13,RAPIDLY_DETERIORATING,1
186,ME20260186,Student 0186,ME,3,2024,Guardian 0186,+919000000186,guardian0186@example.test,2,GRADUALLY_DETERIORATING,0
187,CSE20260187,Student 0187,CSE,4,2024,Guardian 0187,+919000000187,guardian0187@example.test,13,IMPROVING,0
188,EEE20260188,Student 0188,EEE,3,2024,Guardian 0188,+919000000188,guardian0188@example.test,9,STABLE,0
189,CSE20260189,Student 0189,CSE,3,2024,Guardian 0189,+919000000189,guardian0189@example.test,14,RAPIDLY_DETERIORATING,1
190,CSE20260190,Student 0190,CSE,2,2025,Guardian 0190,+919000000190,guardian0190@example.test,14,STABLE,0
191,EEE20260191,Student 0191,EEE,5,2023,Guardian 0191,+919000000191,guardian0191@example.test,2,FINANCIAL_CONTEXT_ONLY,0
192,ME20260192,Student 0192,ME,5,2023,Guardian 0192,+919000000192,guardian0192@example.test,8,STABLE,0
193,EEE20260193,Student 0193,EEE,8,2022,Guardian 0193,+919000000193,guardian0193@example.test,3,STABLE,0
194,EEE20260194,Student 0194,EEE,3,2024,Guardian 0194,+919000000194,guardian0194@example.test,8,ACADEMIC_DISTRESS_ONLY,1
195,EEE20260195,Student 0195,EEE,8,2022,Guardian 0195,+919000000195,guardian0195@example.test,11,STABLE,0
196,ECE20260196,Student 0196,ECE,8,2022,Guardian 0196,+919000000196,guardian0196@example.test,6,STABLE,0
197,CE20260197,Student 0197,CE,5,2023,Guardian 0197,+919000000197,guardian0197@example.test,1,GRADUALLY_DETERIORATING,0
198,CE20260198,Student 0198,CE,7,2022,Guardian 0198,+919000000198,guardian0198@example.test,4,ACADEMIC_DISTRESS_ONLY,0
199,ME20260199,Student 0199,ME,4,2024,Guardian 0199,+919000000199,guardian0199@example.test,5,STABLE,1
200,CE20260200,Student 0200,CE,5,2023,Guardian 0200,+919000000200,guardian0200@example.test,15,STABLE,0
201,EEE20260201,Student 0201,EEE,1,2025,Guardian 0201,+919000000201,guardian0201@example.test,6,RAPIDLY_DETERIORATING,1
202,ME20260202,Student 0202,ME,4,2024,Guardian 0202,+919000000202,guardian0202@example.test,3,FINANCIAL_CONTEXT_ONLY,0
203,ME20260203,Student 0203,ME,4,2024,Guardian 0203,+919000000203,guardian0203@example.test,3,GRADUALLY_DETERIORATING,1
204,EEE20260204,Student 0204,EEE,4,2024,Guardian 0204,+919000000204,guardian0204@example.test,11,STABLE,0
205,ECE20260205,Student 0205,ECE,6,2023,Guardian 0205,+919000000205,guardian0205@example.test,10,STABLE,0
206,ME20260206,Student 0206,ME,5,2023,Guardian 0206,+919000000206,guardian0206@example.test,15,STABLE,0
207,ME20260207,Student 0207,ME,2,2025,Guardian 0207,+919000000207,guardian0207@example.test,2,STABLE,0
208,CE20260208,Student 0208,CE,5,2023,Guardian 0208,+919000000208,guardian0208@example.test,1,GRADUALLY_DETERIORATING,1
209,ECE20260209,Student 0209,ECE,8,2022,Guardian 0209,+919000000209,guardian0209@example.test,12,STABLE,0
210,CE20260210,Student 0210,CE,4,2024,Guardian 0210,+919000000210,guardian0210@example.test,8,GRADUALLY_DETERIORATING,0
211,CSE20260211,Student 0211,CSE,3,2024,Guardian 0211,+919000000211,guardian0211@example.test,6,GRADUALLY_DETERIORATING,1
212,EEE20260212,Student 0212,EEE,6,2023,Guardian 0212,+919000000212,guardian0212@example.test,12,GRADUALLY_DETERIORATING,1
213,EEE20260213,Student 0213,EEE,5,2023,Guardian 0213,+919000000213,guardian0213@example.test,3,STABLE,0
214,CE20260214,Student 0214,CE,6,2023,Guardian 0214,+919000000214,guardian0214@example.test,14,RAPIDLY_DETERIORATING,1
215,CSE20260215,Student 0215,CSE,6,2023,Guardian 0215,+919000000215,guardian0215@example.test,7,RAPIDLY_DETERIORATING,1
216,ECE20260216,Student 0216,ECE,4,2024,Guardian 0216,+919000000216,guardian0216@example.test,7,RAPIDLY_DETERIORATING,1
217,EEE20260217,Student 0217,EEE,1,2025,Guardian 0217,+919000000217,guardian0217@example.test,5,STABLE,0
218,CE20260218,Student 0218,CE,6,2023,Guardian 0218,+919000000218,guardian0218@example.test,10,STABLE,1
219,EEE20260219,Student 0219,EEE,3,2024,Guardian 0219,+919000000219,guardian0219@example.test,13,FINANCIAL_CONTEXT_ONLY,0
220,CSE20260220,Student 0220,CSE,8,2022,Guardian 0220,+919000000220,guardian0220@example.test,13,IMPROVING,0
221,EEE20260221,Student 0221,EEE,6,2023,Guardian 0221,+919000000221,guardian0221@example.test,3,STABLE,0
222,CSE20260222,Student 0222,CSE,7,2022,Guardian 0222,+919000000222,guardian0222@example.test,3,IMPROVING,0
